feature,feature_group,importance_xgb
lag_1,lag,0.5599656701087952
lag_7,lag,0.13215404748916626
lag_14,lag,0.004233436193317175
lag_30,lag,0.0044038621708750725
lag_364,lag,0.02375609427690506
lag_365,lag,0.015226024203002453
lag_366,lag,0.005440355744212866
lag_367,lag,0.006407015025615692
roll_mean_7,rolling_mean,0.18862220644950867
roll_mean_30,rolling_mean,0.012843078002333641
roll_mean_365,rolling_mean,0.005068314261734486
dayofweek,calendar,0.0042521171271800995
month,calendar,0.006819179281592369
dayofyear,calendar,0.009059621021151543
weekofyear,calendar,0.021748967468738556
